state,county,"2020","2021","2022","2023"
 Arkansas,Prairie County,"8,249","8,095","8,077","8,036"
 Arkansas,Pulaski County,"399,274","398,108","399,387","400,009"
 Arkansas,Randolph County,"18,595","18,839","18,852","18,907"
 Arkansas,St. Francis County,"23,021","22,715","22,402","22,101"
 Arkansas,Saline County,"123,826","125,382","127,415","129,574"
 Arkansas,Scott County,"9,834","9,795","9,796","9,851"
 Arkansas,Searcy County,"7,840","7,893","7,906","7,806"
 Arkansas,Sebastian County,"127,808","128,342","129,109","129,098"
 Arkansas,Sevier County,"15,778","15,714","15,738","15,632"
 Arkansas,Sharp County,"17,314","17,691","17,836","17,968"
 Arkansas,Stone County,"12,349","12,441","12,585","12,671"
 Arkansas,Union County,"38,931","38,375","37,813","37,397"
 Arkansas,Van Buren County,"15,799","15,777","16,103","16,142"
 Arkansas,Washington County,"246,774","251,767","256,682","261,549"
 Arkansas,White County,"76,860","77,109","77,616","78,452"
 Arkansas,Woodruff County,"6,224","6,146","6,057","5,964"
 Arkansas,Yell County,"20,212","20,135","20,091","20,044"
 California,Alameda County,"1,680,466","1,644,047","1,628,259","1,622,188"
 California,Alpine County,"1,205","1,229","1,190","1,141"
 California,Amador County,"40,525","41,228","41,493","41,811"
 California,Butte County,"210,151","206,336","207,369","207,172"
 California,Calaveras County,"45,348","46,249","46,556","46,565"
 California,Colusa County,"21,864","21,919","21,909","22,037"
 California,Contra Costa County,"1,166,069","1,163,941","1,157,019","1,155,025"
 California,Del Norte County,"27,604","27,584","27,112","26,589"
 California,El Dorado County,"191,245","193,704","192,787","192,215"
 California,Fresno County,"1,009,552","1,013,103","1,015,359","1,017,162"
 California,Glenn County,"28,904","28,718","28,360","28,129"
 California,Humboldt County,"136,262","134,897","134,944","133,985"
 California,Imperial County,"179,612","179,138","178,940","179,057"
 California,Inyo County,"18,987","18,924","18,742","18,527"
 California,Kern County,"905,910","912,709","916,751","913,820"
 California,Kings County,"152,844","152,775","152,987","152,682"
 California,Lake County,"68,199","68,645","68,172","67,878"
 California,Lassen County,"32,315","31,885","30,020","28,861"
 California,Los Angeles County,"9,992,813","9,809,462","9,719,765","9,663,345"
 California,Madera County,"156,345","158,966","160,329","162,858"
 California,Marin County,"261,306","259,278","256,154","254,407"
 California,Mariposa County,"17,119","17,127","17,053","16,919"
 California,Mendocino County,"91,367","91,321","90,007","89,108"
 California,Merced County,"281,830","284,610","290,210","291,920"
 California,Modoc County,"8,681","8,641","8,619","8,500"
 California,Mono County,"13,228","13,271","13,002","13,066"
 California,Monterey County,"438,322","437,158","432,884","430,723"
 California,Napa County,"137,459","136,265","134,370","133,216"
 California,Nevada County,"102,265","103,517","102,401","102,037"
 California,Orange County,"3,185,734","3,160,611","3,150,372","3,135,755"
 California,Placer County,"405,927","413,047","418,074","423,561"
 California,Plumas County,"19,746","19,958","19,443","19,131"
 California,Riverside County,"2,422,993","2,453,399","2,474,241","2,492,442"
 California,Sacramento County,"1,586,566","1,588,810","1,584,380","1,584,288"
 California,San Benito County,"64,530","66,709","67,643","68,175"
 California,San Bernardino County,"2,183,391","2,193,087","2,194,908","2,195,611"
 California,San Diego County,"3,295,298","3,274,432","3,277,176","3,269,973"
 California,San Francisco County,"870,518","811,935","807,774","808,988"
 California,San Joaquin County,"780,617","788,354","794,293","800,965"
 California,San Luis Obispo County,"281,884","279,464","282,046","281,639"
 California,San Mateo County,"762,479","739,149","728,929","726,353"
 California,Santa Barbara County,"448,424","437,521","443,915","441,257"
 California,Santa Clara County,"1,931,168","1,885,173","1,878,335","1,877,592"
 California,Santa Cruz County,"270,474","260,475","264,240","261,547"
 California,Shasta County,"182,002","182,135","180,937","180,366"
 California,Sierra County,"3,225","3,294","3,222","3,200"
 California,Siskiyou County,"43,995","44,139","43,786","42,905"
 California,Solano County,"452,723","450,653","448,885","449,218"
 California,Sonoma County,"488,282","484,519","482,669","481,812"
 California,Stanislaus County,"553,257","552,723","551,226","551,430"
 California,Sutter County,"99,479","99,152","98,569","97,948"
 California,Tehama County,"65,687","65,446","65,299","64,896"
 California,Trinity County,"16,091","16,082","15,778","15,670"
 California,Tulare County,"473,914","477,176","477,884","479,468"
 California,Tuolumne County,"55,379","55,131","54,587","54,204"
 California,Ventura County,"843,371","839,471","832,871","829,590"
 California,Yolo County,"216,291","213,141","222,018","220,544"
 California,Yuba County,"81,958","83,227","84,353","85,722"
 Colorado,Adams County,"520,500","523,544","527,509","533,365"
 Colorado,Alamosa County,"16,377","16,579","16,587","16,655"
 Colorado,Arapahoe County,"655,272","656,855","656,269","656,061"
 Colorado,Archuleta County,"13,424","13,806","13,989","14,189"
 Colorado,Baca County,"3,480","3,490","3,435","3,344"
 Colorado,Bent County,"5,473","5,339","5,439","5,681"
 Colorado,Boulder County,"330,938","327,084","327,339","326,831"
 Colorado,Broomfield County,"74,490","75,411","76,195","76,860"
 Colorado,Chaffee County,"19,484","19,741","20,265","20,617"
 Colorado,Cheyenne County,"1,746","1,719","1,731","1,727"
 Colorado,Clear Creek County,"9,393","9,457","9,367","9,147"
 Colorado,Conejos County,"7,451","7,582","7,587","7,521"
 Colorado,Costilla County,"3,502","3,613","3,615","3,628"
 Colorado,Crowley County,"5,688","5,735","5,627","5,636"
 Colorado,Custer County,"4,723","5,063","5,337","5,534"
 Colorado,Delta County,"31,056","31,392","31,560","31,746"
 Colorado,Denver County,"717,606","711,467","713,453","716,577"
 Colorado,Dolores County,"2,331","2,375","2,460","2,513"
 Colorado,Douglas County,"360,323","369,783","375,937","383,906"
 Colorado,Eagle County,"55,657","55,774","55,218","54,381"
 Colorado,Elbert County,"26,216","27,159","27,842","28,806"
 Colorado,El Paso County,"732,384","737,287","740,596","744,215"
 Colorado,Fremont County,"48,878","49,237","49,616","50,318"
 Colorado,Garfield County,"61,794","62,107","62,256","62,707"
 Colorado,Gilpin County,"5,820","5,893","5,886","5,926"
 Colorado,Grand County,"15,747","15,851","15,734","15,935"
 Colorado,Gunnison County,"16,950","17,294","17,320","17,321"
 Colorado,Hinsdale County,788,773,771,765
 Colorado,Huerfano County,"6,827","6,934","7,097","7,055"
 Colorado,Jackson County,"1,379","1,359","1,314","1,309"
 Colorado,Jefferson County,"583,081","580,703","575,811","576,366"
 Colorado,Kiowa County,"1,455","1,454","1,434","1,384"
 Colorado,Kit Carson County,"7,062","6,927","6,983","6,994"
 Colorado,Lake County,"7,408","7,395","7,346","7,365"
 Colorado,La Plata County,"55,673","56,169","56,553","56,407"
 Colorado,Larimer County,"359,923","362,747","367,577","370,771"
 Colorado,Las Animas County,"14,490","14,334","14,311","14,348"
 Colorado,Lincoln County,"5,662","5,473","5,510","5,480"
 Colorado,Logan County,"21,210","21,006","20,792","20,619"
 Colorado,Mesa County,"156,011","157,439","158,531","159,681"
 Colorado,Mineral County,874,929,931,944
 Colorado,Moffat County,"13,269","13,165","13,205","13,327"
 Colorado,Montezuma County,"25,887","26,234","26,467","26,531"
 Colorado,Montrose County,"42,818","43,236","43,807","44,156"
 Colorado,Morgan County,"29,076","29,006","29,266","29,524"
 Colorado,Otero County,"18,664","18,527","18,311","18,136"
 Colorado,Ouray County,"4,882","5,063","5,103","5,176"
 Colorado,Park County,"17,418","17,744","17,921","18,117"
 Colorado,Phillips County,"4,527","4,502","4,448","4,476"
 Colorado,Pitkin County,"17,355","17,337","16,847","16,640"
 Colorado,Prowers County,"12,017","11,990","11,873","11,751"
 Colorado,Pueblo County,"168,337","169,316","169,472","169,422"
