state,county,"2020","2021","2022","2023"
 Missouri,Scotland County,"4,707","4,674","4,647","4,676"
 Missouri,Scott County,"38,020","37,886","37,868","37,889"
 Missouri,Shannon County,"7,028","7,090","7,216","7,238"
 Missouri,Shelby County,"6,087","5,965","5,996","5,931"
 Missouri,Stoddard County,"28,651","28,519","28,390","28,397"
 Missouri,Stone County,"31,212","31,592","32,134","32,658"
 Missouri,Sullivan County,"5,985","5,898","5,816","5,797"
 Missouri,Taney County,"56,062","56,304","56,749","56,775"
 Missouri,Texas County,"24,324","24,868","25,304","25,619"
 Missouri,Vernon County,"19,670","19,588","19,599","19,710"
 Missouri,Warren County,"35,732","36,551","37,290","37,806"
 Missouri,Washington County,"23,424","23,392","23,392","23,534"
 Missouri,Wayne County,"10,936","10,922","10,817","10,811"
 Missouri,Webster County,"39,013","39,601","40,366","41,472"
 Missouri,Worth County,"1,963","1,967","1,940","1,907"
 Missouri,Wright County,"18,213","18,621","19,143","19,403"
 Missouri,St. Louis city,"300,496","293,622","286,193","281,754"
 Montana,Beaverhead County,"9,382","9,553","9,747","9,885"
 Montana,Big Horn County,"13,080","12,893","12,826","12,751"
 Montana,Blaine County,"7,007","7,003","6,972","6,899"
 Montana,Broadwater County,"6,860","7,323","7,771","8,032"
 Montana,Carbon County,"10,505","10,889","11,236","11,419"
 Montana,Carter County,"1,404","1,413","1,403","1,418"
 Montana,Cascade County,"84,407","84,551","85,001","84,900"
 Montana,Chouteau County,"5,899","5,921","5,908","5,847"
 Montana,Custer County,"11,866","11,961","12,000","11,985"
 Montana,Daniels County,"1,654","1,671","1,645","1,633"
 Montana,Dawson County,"8,924","8,858","8,807","8,810"
 Montana,Deer Lodge County,"9,420","9,518","9,544","9,673"
 Montana,Fallon County,"3,029","3,011","3,050","2,994"
 Montana,Fergus County,"11,475","11,622","11,672","11,772"
 Montana,Flathead County,"104,876","108,769","111,885","113,679"
 Montana,Gallatin County,"119,597","123,098","124,938","126,409"
 Montana,Garfield County,"1,172","1,208","1,218","1,211"
 Montana,Glacier County,"13,745","13,724","13,650","13,609"
 Montana,Golden Valley County,821,815,826,835
 Montana,Granite County,"3,312","3,360","3,497","3,595"
 Montana,Hill County,"16,271","16,220","16,118","16,276"
 Montana,Jefferson County,"12,142","12,468","12,831","13,048"
 Montana,Judith Basin County,"2,020","2,038","2,079","2,093"
 Montana,Lake County,"31,258","32,090","32,853","33,338"
 Montana,Lewis and Clark County,"71,177","72,507","73,784","75,011"
 Montana,Liberty County,"1,954","1,933","1,974","1,974"
 Montana,Lincoln County,"19,734","20,582","21,510","21,895"
 Montana,McCone County,"1,728","1,709","1,711","1,676"
 Montana,Madison County,"8,661","8,953","9,252","9,521"
 Montana,Meagher County,"1,920","1,958","2,026","2,071"
 Montana,Mineral County,"4,568","4,859","5,020","5,090"
 Montana,Missoula County,"118,347","119,841","121,011","121,849"
 Montana,Musselshell County,"4,750","4,908","5,169","5,308"
 Montana,Park County,"17,223","17,515","17,753","17,903"
 Montana,Petroleum County,499,518,521,554
 Montana,Phillips County,"4,213","4,210","4,228","4,249"
 Montana,Pondera County,"5,878","6,018","6,092","6,125"
 Montana,Powder River County,"1,696","1,710","1,732","1,743"
 Montana,Powell County,"6,942","7,025","7,078","7,133"
 Montana,Prairie County,"1,091","1,097","1,108","1,112"
 Montana,Ravalli County,"44,411","46,084","47,177","47,738"
 Montana,Richland County,"11,534","11,329","11,230","11,173"
 Montana,Roosevelt County,"10,801","10,788","10,537","10,319"
 Montana,Rosebud County,"8,309","8,086","8,152","8,160"
 Montana,Sanders County,"12,458","12,944","13,384","13,684"
 Montana,Sheridan County,"3,540","3,576","3,555","3,498"
 Montana,Silver Bow County,"35,210","35,502","35,947","36,360"
 Montana,Stillwater County,"9,003","9,024","9,169","9,173"
 Montana,Sweet Grass County,"3,670","3,702","3,727","3,763"
 Montana,Teton County,"6,252","6,275","6,346","6,430"
 Montana,Toole County,"4,972","4,992","5,077","5,133"
 Montana,Treasure County,759,768,754,772
 Montana,Valley County,"7,556","7,560","7,542","7,474"
 Montana,Wheatland County,"2,076","2,042","2,038","2,057"
 Montana,Wibaux County,935,936,927,910
 Montana,Yellowstone County,"165,218","167,438","169,870","170,843"
 Nebraska,Adams County,"31,178","30,967","30,947","30,899"
 Nebraska,Antelope County,"6,279","6,295","6,305","6,302"
 Nebraska,Arthur County,429,432,425,412
 Nebraska,Banner County,679,690,657,674
 Nebraska,Blaine County,427,462,452,436
 Nebraska,Boone County,"5,357","5,382","5,366","5,310"
 Nebraska,Box Butte County,"10,828","10,663","10,683","10,692"
 Nebraska,Boyd County,"1,801","1,780","1,730","1,725"
 Nebraska,Brown County,"2,896","2,913","2,883","2,853"
 Nebraska,Buffalo County,"50,193","50,300","50,532","50,697"
 Nebraska,Burt County,"6,719","6,709","6,770","6,727"
 Nebraska,Butler County,"8,360","8,454","8,443","8,459"
 Nebraska,Cass County,"26,611","27,080","27,152","27,446"
 Nebraska,Cedar County,"8,375","8,332","8,366","8,262"
 Nebraska,Chase County,"3,888","3,824","3,754","3,724"
 Nebraska,Cherry County,"5,452","5,447","5,485","5,492"
 Nebraska,Cheyenne County,"9,483","9,498","9,526","9,541"
 Nebraska,Clay County,"6,100","6,039","6,049","6,116"
 Nebraska,Colfax County,"10,557","10,477","10,453","10,566"
 Nebraska,Cuming County,"9,009","8,990","8,953","8,918"
 Nebraska,Custer County,"10,483","10,486","10,504","10,581"
 Nebraska,Dakota County,"21,554","21,282","21,116","21,268"
 Nebraska,Dawes County,"8,156","8,149","8,252","8,133"
 Nebraska,Dawson County,"24,085","23,934","23,905","24,085"
 Nebraska,Deuel County,"1,831","1,847","1,901","1,871"
 Nebraska,Dixon County,"5,595","5,570","5,516","5,491"
 Nebraska,Dodge County,"37,116","37,128","37,045","37,187"
 Nebraska,Douglas County,"585,431","585,452","586,106","589,540"
 Nebraska,Dundy County,"1,654","1,633","1,595","1,561"
 Nebraska,Fillmore County,"5,574","5,559","5,541","5,548"
 Nebraska,Franklin County,"2,889","2,878","2,850","2,825"
 Nebraska,Frontier County,"2,501","2,544","2,611","2,585"
 Nebraska,Furnas County,"4,626","4,607","4,570","4,556"
 Nebraska,Gage County,"21,656","21,633","21,564","21,634"
 Nebraska,Garden County,"1,886","1,838","1,835","1,794"
 Nebraska,Garfield County,"1,807","1,833","1,787","1,763"
 Nebraska,Gosper County,"1,896","1,829","1,835","1,847"
 Nebraska,Grant County,613,577,584,565
 Nebraska,Greeley County,"2,179","2,181","2,235","2,219"
 Nebraska,Hall County,"62,764","62,075","62,096","62,197"
 Nebraska,Hamilton County,"9,400","9,384","9,439","9,537"
 Nebraska,Harlan County,"3,057","3,097","3,032","3,045"
 Nebraska,Hayes County,856,850,864,846
 Nebraska,Hitchcock County,"2,618","2,599","2,614","2,552"
 Nebraska,Holt County,"10,096","10,052","10,013","10,093"
 Nebraska,Hooker County,705,732,682,679
 Nebraska,Howard County,"6,483","6,521","6,509","6,527"
 Nebraska,Jefferson County,"7,259","7,159","7,140","7,054"
 Nebraska,Johnson County,"5,294","5,314","5,245","5,198"
 Nebraska,Kearney County,"6,688","6,683","6,706","6,770"
 Nebraska,Keith County,"8,322","8,253","8,179","8,113"
 Nebraska,Keya Paha County,760,796,805,805
 Nebraska,Kimball County,"3,412","3,411","3,336","3,289"
 Nebraska,Knox County,"8,384","8,406","8,307","8,298"
 Nebraska,Lancaster County,"323,165","323,404","324,434","326,716"
 Nebraska,Lincoln County,"34,532","34,074","33,614","33,365"
 Nebraska,Logan County,715,685,685,655
 Nebraska,Loup County,609,604,601,592
 Nebraska,McPherson County,397,381,379,383
 Nebraska,Madison County,"35,530","35,395","35,414","35,627"
 Nebraska,Merrick County,"7,661","7,667","7,715","7,755"
 Nebraska,Morrill County,"4,560","4,569","4,522","4,504"
 Nebraska,Nance County,"3,390","3,375","3,317","3,274"
 Nebraska,Nemaha County,"7,082","7,004","7,036","7,076"
 Nebraska,Nuckolls County,"4,093","4,071","4,069","4,095"
 Nebraska,Otoe County,"15,901","16,017","16,186","16,335"
 Nebraska,Pawnee County,"2,536","2,538","2,531","2,512"
 Nebraska,Perkins County,"2,858","2,819","2,827","2,795"
 Nebraska,Phelps County,"8,979","8,923","8,988","9,057"
 Nebraska,Pierce County,"7,345","7,319","7,317","7,299"
 Nebraska,Platte County,"34,287","34,295","34,355","34,609"
 Nebraska,Polk County,"5,218","5,191","5,240","5,228"
 Nebraska,Red Willow County,"10,682","10,620","10,528","10,457"
 Nebraska,Richardson County,"7,862","7,786","7,730","7,689"
 Nebraska,Rock County,"1,265","1,275","1,241","1,271"
 Nebraska,Saline County,"14,720","14,525","14,548","14,555"
 Nebraska,Sarpy County,"191,167","193,826","196,427","199,886"
 Nebraska,Saunders County,"22,374","22,832","23,177","23,463"
 Nebraska,Scotts Bluff County,"36,051","35,904","35,769","35,699"
 Nebraska,Seward County,"17,618","17,556","17,625","17,671"
 Nebraska,Sheridan County,"5,096","5,083","5,006","4,928"
 Nebraska,Sherman County,"2,956","2,966","3,006","2,983"
 Nebraska,Sioux County,"1,140","1,146","1,127","1,154"
 Nebraska,Stanton County,"5,829","5,837","5,765","5,856"
 Nebraska,Thayer County,"5,020","4,888","4,854","4,829"
 Nebraska,Thomas County,671,676,665,677
 Nebraska,Thurston County,"6,764","6,633","6,555","6,557"
 Nebraska,Valley County,"4,057","4,062","4,058","4,012"
 Nebraska,Washington County,"20,927","20,991","21,167","21,152"
 Nebraska,Wayne County,"9,696","9,864","9,899","9,874"
 Nebraska,Webster County,"3,392","3,402","3,339","3,351"
 Nebraska,Wheeler County,775,785,782,775
 Nebraska,York County,"14,102","14,239","14,312","14,356"
 Nevada,Churchill County,"25,572","25,664","25,798","25,803"
 Nevada,Clark County,"2,274,887","2,295,310","2,322,535","2,336,573"
 Nevada,Douglas County,"49,525","49,999","49,662","49,545"
 Nevada,Elko County,"53,664","53,852","53,979","54,293"
 Nevada,Esmeralda County,734,735,747,736
 Nevada,Eureka County,"1,852","1,908","1,863","1,917"
 Nevada,Humboldt County,"17,271","17,632","17,296","17,136"
 Nevada,Lander County,"5,728","5,761","5,761","5,769"
 Nevada,Lincoln County,"4,445","4,392","4,440","4,452"
 Nevada,Lyon County,"59,465","60,961","61,628","62,583"
 Nevada,Mineral County,"4,554","4,617","4,537","4,528"
 Nevada,Nye County,"51,963","53,324","54,769","55,720"
 Nevada,Pershing County,"6,617","6,427","6,450","6,364"
 Nevada,Storey County,"4,108","4,142","4,165","4,177"
 Nevada,Washoe County,"487,710","494,300","496,980","498,022"
 Nevada,White Pine County,"9,059","8,844","8,746","8,522"
 Nevada,Carson City,"58,686","58,764","58,065","58,036"
 New Hampshire,Belknap County,"63,776","64,599","64,705","65,027"
 New Hampshire,Carroll County,"50,246","51,741","52,154","52,448"
 New Hampshire,Cheshire County,"76,547","76,846","77,463","77,703"
 New Hampshire,Coos County,"31,227","31,379","31,476","31,372"
 New Hampshire,Grafton County,"91,198","90,495","93,131","93,146"
 New Hampshire,Hillsborough County,"422,913","424,413","427,493","427,354"
 New Hampshire,Merrimack County,"154,038","154,622","156,459","157,103"
 New Hampshire,Rockingham County,"314,621","318,260","319,633","320,689"
 New Hampshire,Strafford County,"131,068","131,534","132,571","133,243"
 New Hampshire,Sullivan County,"43,068","43,605","43,918","43,969"
 New Jersey,Atlantic County,"274,190","274,956","275,382","275,213"
 New Jersey,Bergen County,"953,690","955,383","953,540","957,736"
 New Jersey,Burlington County,"461,682","464,479","466,101","469,167"
 New Jersey,Camden County,"523,122","524,093","524,649","527,196"
 New Jersey,Cape May County,"95,044","95,706","95,405","94,610"
 New Jersey,Cumberland County,"153,719","152,083","151,347","152,326"
 New Jersey,Essex County,"859,974","854,233","849,724","851,117"
 New Jersey,Gloucester County,"302,563","304,592","306,767","308,423"
 New Jersey,Hudson County,"721,879","703,448","702,381","705,472"
 New Jersey,Hunterdon County,"128,786","129,671","129,805","130,183"
 New Jersey,Mercer County,"386,466","382,172","380,779","381,671"
 New Jersey,Middlesex County,"861,408","862,364","861,094","863,623"
 New Jersey,Monmouth County,"642,836","646,517","644,228","642,799"
 New Jersey,Morris County,"508,439","510,613","511,219","514,423"
 New Jersey,Ocean County,"638,465","649,825","655,663","659,197"
 New Jersey,Passaic County,"523,439","518,376","513,634","513,395"
 New Jersey,Salem County,"64,841","65,045","65,157","65,338"
 New Jersey,Somerset County,"344,754","346,498","347,047","348,842"
 New Jersey,Sussex County,"143,915","145,721","145,575","146,132"
 New Jersey,Union County,"573,660","572,833","570,417","572,726"
 New Jersey,Warren County,"109,520","110,567","110,903","111,252"
 New Mexico,Bernalillo County,"676,853","675,286","672,957","671,586"
 New Mexico,Catron County,"3,606","3,710","3,793","3,825"
 New Mexico,Chaves County,"65,149","64,650","63,892","63,561"
 New Mexico,Cibola County,"27,101","27,185","26,871","26,780"
 New Mexico,Colfax County,"12,352","12,346","12,272","12,255"
 New Mexico,Curry County,"48,370","47,936","47,430","47,222"
 New Mexico,De Baca County,"1,681","1,679","1,692","1,657"
 New Mexico,Doña Ana County,"220,060","221,732","223,530","225,210"
 New Mexico,Eddy County,"62,333","60,855","60,203","60,275"
 New Mexico,Grant County,"28,205","27,893","27,693","27,472"
 New Mexico,Guadalupe County,"4,439","4,423","4,316","4,292"
 New Mexico,Harding County,653,631,621,624
 New Mexico,Hidalgo County,"4,164","4,086","4,011","3,965"
 New Mexico,Lea County,"74,642","73,062","72,343","72,101"
 New Mexico,Lincoln County,"20,307","20,400","20,343","20,029"
 New Mexico,Los Alamos County,"19,418","19,390","19,273","19,444"
 New Mexico,Luna County,"25,458","25,471","25,693","25,316"
 New Mexico,McKinley County,"72,590","71,464","69,931","68,797"
 New Mexico,Mora County,"4,191","4,189","4,147","4,123"
 New Mexico,Otero County,"67,862","68,486","68,517","68,835"
 New Mexico,Quay County,"8,712","8,620","8,529","8,510"
 New Mexico,Rio Arriba County,"40,271","40,216","39,991","39,876"
 New Mexico,Roosevelt County,"19,148","18,992","18,858","18,787"
 New Mexico,Sandoval County,"149,290","151,478","153,597","155,936"
 New Mexico,San Juan County,"121,376","120,996","120,569","120,675"
 New Mexico,San Miguel County,"27,131","27,155","26,902","26,668"
 New Mexico,Santa Fe County,"155,043","155,400","155,761","155,956"
 New Mexico,Sierra County,"11,562","11,519","11,474","11,488"
 New Mexico,Socorro County,"16,551","16,291","16,111","15,963"
 New Mexico,Taos County,"34,463","34,685","34,590","34,405"
 New Mexico,Torrance County,"15,062","15,313","15,383","15,633"
 New Mexico,Union County,"4,071","4,096","3,982","3,964"
 New Mexico,Valencia County,"76,374","77,315","78,201","79,141"
 New York,Albany County,"314,018","316,178","315,921","316,659"
 New York,Allegany County,"47,328","46,938","46,726","46,651"
 New York,Bronx County,"1,461,151","1,424,084","1,381,808","1,356,476"
 New York,Broome County,"198,156","198,562","197,258","196,077"
 New York,Cattaraugus County,"76,974","76,539","76,050","75,600"
 New York,Cayuga County,"76,147","75,451","74,679","74,485"
 New York,Chautauqua County,"127,376","126,183","125,344","124,891"
 New York,Chemung County,"83,668","83,039","81,641","81,325"
 New York,Chenango County,"47,064","46,569","46,331","45,920"
 New York,Clinton County,"79,699","78,993","78,037","78,115"
 New York,Columbia County,"61,414","61,961","61,108","60,470"
 New York,Cortland County,"46,741","46,413","46,081","45,752"
 New York,Delaware County,"44,231","44,718","44,774","44,410"
 New York,Dutchess County,"295,901","298,776","297,609","297,150"
 New York,Erie County,"952,342","952,912","948,423","946,147"
 New York,Essex County,"37,275","37,233","36,763","36,775"
 New York,Franklin County,"47,477","47,106","46,393","46,502"
 New York,Fulton County,"53,100","52,747","52,256","52,234"
 New York,Genesee County,"58,302","57,889","57,398","57,529"
 New York,Greene County,"47,752","47,884","47,345","47,062"
 New York,Hamilton County,"5,079","5,122","5,121","5,082"
 New York,Herkimer County,"60,037","60,023","59,584","59,484"
 New York,Jefferson County,"116,069","116,902","115,461","114,787"
 New York,Kings County,"2,718,447","2,637,522","2,589,531","2,561,225"
 New York,Lewis County,"26,560","26,722","26,595","26,548"
 New York,Livingston County,"61,590","61,691","61,340","61,158"
 New York,Madison County,"67,935","67,382","67,054","66,921"
 New York,Monroe County,"757,551","755,813","750,887","748,482"
 New York,Montgomery County,"49,485","49,482","49,333","49,368"
 New York,Nassau County,"1,390,491","1,391,809","1,385,294","1,381,715"
 New York,New York County,"1,677,232","1,578,055","1,594,543","1,597,451"
 New York,Niagara County,"212,126","211,719","210,467","209,457"
 New York,Oneida County,"231,082","229,620","228,358","227,555"
 New York,Onondaga County,"474,192","471,887","469,728","467,873"
 New York,Ontario County,"112,363","112,661","112,481","112,494"
 New York,Orange County,"400,986","405,167","406,491","407,470"
 New York,Orleans County,"40,135","39,515","39,163","39,124"
 New York,Oswego County,"117,429","117,984","118,239","118,162"
 New York,Otsego County,"58,373","60,732","60,409","60,126"
 New York,Putnam County,"97,635","98,228","98,312","98,060"
 New York,Queens County,"2,388,864","2,329,008","2,278,558","2,252,196"
 New York,Rensselaer County,"160,871","160,622","159,421","159,305"
 New York,Richmond County,"494,598","493,547","491,358","490,687"
 New York,Rockland County,"337,367","339,786","340,357","340,807"
 New York,St. Lawrence County,"108,329","107,823","107,089","106,940"
 New York,Saratoga County,"235,793","237,846","238,468","238,711"
 New York,Schenectady County,"159,289","160,046","159,694","159,902"
 New York,Schoharie County,"29,753","30,132","30,091","30,105"
 New York,Schuyler County,"17,864","17,789","17,609","17,507"
 New York,Seneca County,"33,516","33,414","32,586","32,349"
 New York,Steuben County,"93,309","93,087","92,505","92,162"
 New York,Suffolk County,"1,522,064","1,533,815","1,527,974","1,523,170"
 New York,Sullivan County,"78,453","79,702","79,735","79,920"
 New York,Tioga County,"48,348","48,080","47,766","47,715"
 New York,Tompkins County,"99,772","105,966","104,299","103,558"
 New York,Ulster County,"181,271","183,489","182,320","182,333"
 New York,Warren County,"65,609","65,735","65,427","65,380"
 New York,Washington County,"61,091","60,858","60,810","60,047"
 New York,Wayne County,"91,202","91,149","90,958","90,829"
 New York,Westchester County,"1,001,453","999,856","991,736","990,817"
 New York,Wyoming County,"40,259","39,927","39,601","39,532"
 New York,Yates County,"24,722","24,638","24,502","24,472"
 North Carolina,Alamance County,"171,960","173,968","176,618","179,165"
 North Carolina,Alexander County,"36,489","36,364","36,316","36,473"
 North Carolina,Alleghany County,"10,895","11,079","11,193","11,342"
 North Carolina,Anson County,"22,037","21,905","21,958","21,897"
 North Carolina,Ashe County,"26,584","26,757","27,062","27,063"
 North Carolina,Avery County,"17,847","17,522","17,541","17,561"
 North Carolina,Beaufort County,"44,694","44,462","44,400","44,481"
 North Carolina,Bertie County,"17,863","17,371","17,068","16,922"
 North Carolina,Bladen County,"29,632","29,544","29,391","29,484"
 North Carolina,Brunswick County,"138,168","144,843","152,908","159,964"
 North Carolina,Buncombe County,"269,702","271,945","273,790","275,901"
 North Carolina,Burke County,"87,565","87,589","87,972","88,338"
 North Carolina,Cabarrus County,"227,219","231,788","235,909","240,016"
 North Carolina,Caldwell County,"80,652","80,547","80,347","80,574"
 North Carolina,Camden County,"10,408","10,821","11,090","11,137"
 North Carolina,Carteret County,"67,728","68,729","69,326","69,615"
 North Carolina,Caswell County,"22,697","22,691","22,431","22,807"
 North Carolina,Catawba County,"160,888","161,675","163,167","164,645"
 North Carolina,Chatham County,"76,664","78,141","79,939","81,624"
 North Carolina,Cherokee County,"28,858","29,194","29,459","29,959"
 North Carolina,Chowan County,"13,703","13,761","13,898","13,891"
 North Carolina,Clay County,"11,142","11,375","11,615","11,864"
 North Carolina,Cleveland County,"99,817","100,341","100,653","101,378"
 North Carolina,Columbus County,"50,496","50,020","50,075","50,121"
 North Carolina,Craven County,"100,307","100,396","101,087","102,391"
 North Carolina,Cumberland County,"335,470","337,888","336,781","337,890"
 North Carolina,Currituck County,"28,405","29,700","31,008","31,593"
 North Carolina,Dare County,"37,039","37,914","37,987","38,110"
 North Carolina,Davidson County,"169,203","170,717","172,380","174,804"
 North Carolina,Davie County,"42,903","43,652","44,115","44,599"
 North Carolina,Duplin County,"48,658","48,558","48,934","49,520"
 North Carolina,Durham County,"325,567","329,849","333,292","336,892"
 North Carolina,Edgecombe County,"48,775","48,333","48,389","48,832"
 North Carolina,Forsyth County,"383,202","386,376","389,661","392,921"
 North Carolina,Franklin County,"69,164","71,832","74,400","77,001"
 North Carolina,Gaston County,"228,532","231,277","233,970","237,242"
 North Carolina,Gates County,"10,452","10,403","10,370","10,343"
 North Carolina,Graham County,"8,036","8,008","8,032","8,052"
 North Carolina,Granville County,"61,061","61,365","61,702","62,192"
 North Carolina,Greene County,"20,446","20,280","20,367","20,530"
 North Carolina,Guilford County,"539,321","542,495","546,457","549,866"
 North Carolina,Halifax County,"48,528","48,353","47,711","47,298"
 North Carolina,Harnett County,"133,757","135,586","138,478","141,477"
 North Carolina,Haywood County,"62,218","62,522","62,615","62,969"
 North Carolina,Henderson County,"116,574","117,155","118,298","119,230"
 North Carolina,Hertford County,"21,378","19,953","19,634","19,453"
 North Carolina,Hoke County,"52,236","53,179","53,691","54,446"
 North Carolina,Hyde County,"4,553","4,643","4,656","4,607"
 North Carolina,Iredell County,"187,683","192,186","195,874","199,710"
 North Carolina,Jackson County,"42,237","42,587","43,922","44,574"
 North Carolina,Johnston County,"217,808","227,302","234,902","241,955"
 North Carolina,Jones County,"9,149","9,210","9,219","9,401"
 North Carolina,Lee County,"63,434","64,052","65,543","67,059"
 North Carolina,Lenoir County,"55,046","54,683","54,499","54,895"
 North Carolina,Lincoln County,"87,220","89,941","93,108","95,675"
 North Carolina,McDowell County,"44,547","44,530","44,755","44,893"
 North Carolina,Macon County,"37,098","37,470","37,969","38,412"
 North Carolina,Madison County,"21,287","21,728","21,881","22,071"
 North Carolina,Martin County,"21,952","21,741","21,478","21,447"
 North Carolina,Mecklenburg County,"1,117,423","1,126,283","1,144,075","1,163,701"
 North Carolina,Mitchell County,"14,900","14,975","15,048","14,999"
 North Carolina,Montgomery County,"25,731","25,862","25,841","26,085"
 North Carolina,Moore County,"100,296","103,044","105,491","106,898"
 North Carolina,Nash County,"95,157","95,204","95,820","96,551"
 North Carolina,New Hanover County,"226,326","230,019","235,784","238,852"
 North Carolina,Northampton County,"17,433","17,116","16,827","16,715"
 North Carolina,Onslow County,"207,757","206,018","209,031","213,676"
 North Carolina,Orange County,"143,602","148,693","150,253","150,626"
 North Carolina,Pamlico County,"12,300","12,342","12,234","12,423"
 North Carolina,Pasquotank County,"40,577","40,807","41,168","41,444"
 North Carolina,Pender County,"60,639","63,020","65,698","68,521"
 North Carolina,Perquimans County,"13,018","13,117","13,221","13,377"
 North Carolina,Person County,"39,187","39,148","39,343","39,737"
 North Carolina,Pitt County,"170,390","172,235","173,610","175,119"
 North Carolina,Polk County,"19,390","19,714","20,012","20,060"
 North Carolina,Randolph County,"144,425","145,154","146,196","147,458"
 North Carolina,Richmond County,"42,914","42,805","42,573","42,324"
 North Carolina,Robeson County,"116,309","116,142","116,466","117,365"
 North Carolina,Rockingham County,"91,195","91,211","91,966","92,518"
 North Carolina,Rowan County,"147,167","147,937","149,673","151,661"
 North Carolina,Rutherford County,"64,486","64,616","64,945","65,507"
 North Carolina,Sampson County,"59,085","59,022","59,027","59,601"
 North Carolina,Scotland County,"34,290","34,285","34,350","34,376"
 North Carolina,Stanly County,"62,642","63,100","64,231","65,699"
 North Carolina,Stokes County,"44,572","44,625","45,136","45,532"
 North Carolina,Surry County,"71,373","71,257","71,482","71,462"
 North Carolina,Swain County,"14,103","14,128","13,936","13,916"
 North Carolina,Transylvania County,"33,048","33,272","33,373","33,549"
 North Carolina,Tyrrell County,"3,241","3,379","3,473","3,461"
 North Carolina,Union County,"239,470","244,259","249,172","256,452"
 North Carolina,Vance County,"42,540","42,101","42,154","42,301"
 North Carolina,Wake County,"1,130,483","1,152,301","1,170,778","1,190,275"
 North Carolina,Warren County,"18,596","18,798","18,677","18,836"
 North Carolina,Washington County,"10,980","10,883","10,776","10,713"
 North Carolina,Watauga County,"54,122","54,968","55,013","54,748"
 North Carolina,Wayne County,"117,221","116,857","117,449","118,686"
 North Carolina,Wilkes County,"65,916","65,826","65,791","66,013"
 North Carolina,Wilson County,"78,804","78,241","78,306","78,970"
 North Carolina,Yadkin County,"37,254","37,276","37,507","37,774"
 North Carolina,Yancey County,"18,496","18,764","18,768","18,938"
 North Dakota,Adams County,"2,195","2,169","2,133","2,163"
 North Dakota,Barnes County,"10,851","10,815","10,761","10,726"
 North Dakota,Benson County,"5,935","5,773","5,772","5,745"
 North Dakota,Billings County,933,963,"1,025","1,034"
 North Dakota,Bottineau County,"6,388","6,448","6,384","6,349"
 North Dakota,Bowman County,"2,980","2,900","2,899","2,867"
 North Dakota,Burke County,"2,194","2,154","2,132","2,134"
 North Dakota,Burleigh County,"98,601","98,965","99,396","100,012"
 North Dakota,Cass County,"184,876","189,377","192,713","196,362"
 North Dakota,Cavalier County,"3,704","3,680","3,608","3,596"
 North Dakota,Dickey County,"4,969","4,901","4,928","4,900"
 North Dakota,Divide County,"2,205","2,182","2,169","2,135"
 North Dakota,Dunn County,"4,098","4,018","3,994","4,019"
 North Dakota,Eddy County,"2,324","2,324","2,307","2,263"
 North Dakota,Emmons County,"3,286","3,257","3,254","3,224"
 North Dakota,Foster County,"3,387","3,364","3,380","3,309"
 North Dakota,Golden Valley County,"1,721","1,755","1,746","1,743"
 North Dakota,Grand Forks County,"73,141","72,586","72,421","72,708"
 North Dakota,Grant County,"2,286","2,303","2,238","2,215"
 North Dakota,Griggs County,"2,291","2,281","2,249","2,248"
 North Dakota,Hettinger County,"2,467","2,425","2,411","2,415"
 North Dakota,Kidder County,"2,382","2,354","2,381","2,342"
 North Dakota,LaMoure County,"4,101","4,079","4,076","4,096"
 North Dakota,Logan County,"1,885","1,863","1,838","1,869"
 North Dakota,McHenry County,"5,332","5,238","5,195","5,131"
 North Dakota,McIntosh County,"2,517","2,517","2,495","2,488"
 North Dakota,McKenzie County,"14,776","13,858","13,889","14,252"
 North Dakota,McLean County,"9,766","9,823","9,858","9,832"
 North Dakota,Mercer County,"8,347","8,339","8,327","8,309"
 North Dakota,Morton County,"33,315","33,565","33,705","33,895"
 North Dakota,Mountrail County,"9,788","9,562","9,241","9,383"
 North Dakota,Nelson County,"2,994","3,049","2,999","2,991"
 North Dakota,Oliver County,"1,869","1,876","1,862","1,879"
 North Dakota,Pembina County,"6,838","6,773","6,745","6,661"
 North Dakota,Pierce County,"3,982","3,944","3,931","3,902"
 North Dakota,Ramsey County,"11,572","11,611","11,516","11,463"
 North Dakota,Ransom County,"5,692","5,682","5,647","5,603"
 North Dakota,Renville County,"2,274","2,265","2,250","2,279"
 North Dakota,Richland County,"16,534","16,557","16,574","16,558"
 North Dakota,Rolette County,"12,193","12,067","11,867","11,728"
 North Dakota,Sargent County,"3,828","3,829","3,804","3,776"
 North Dakota,Sheridan County,"1,259","1,263","1,286","1,266"
 North Dakota,Sioux County,"3,880","3,747","3,686","3,643"
 North Dakota,Slope County,703,696,682,674
 North Dakota,Stark County,"33,832","33,029","32,718","33,001"
 North Dakota,Steele County,"1,794","1,806","1,793","1,782"
 North Dakota,Stutsman County,"21,540","21,579","21,476","21,392"
 North Dakota,Towner County,"2,147","2,128","2,060","2,030"
 North Dakota,Traill County,"7,987","7,987","7,955","7,908"
 North Dakota,Walsh County,"10,529","10,490","10,460","10,305"
 North Dakota,Ward County,"69,921","69,364","68,788","68,332"
 North Dakota,Wells County,"3,972","3,903","3,922","3,876"
 North Dakota,Williams County,"41,182","38,499","37,966","39,113"
 Ohio,Adams County,"27,440","27,574","27,459","27,521"
 Ohio,Allen County,"102,125","101,784","101,097","100,838"
